feature,importance_mean,importance_std
Oxygen Concentration,3.957921736622461,0.3286307420989683
"Internal geometry (Cylindrical , rectangular)",3.8828055746804417,0.40026480220185173
fuel_density_kg_m3,0.7759522971097711,0.12114645221424476
fuel_k_W_mK,0.3827687767828495,0.06378853528552753
"Geometry of Sample (Flat, wire, or Cylindrical)",0.3135399706380101,0.1252050540424796
Ignition time (s),0.2527638703286373,0.056142988070955045
gas_M,0.24600752971211204,0.09015671808220158
core_k_W_mK,0.20465672152322192,0.056833805916818456
diluent,0.15680669400707128,0.03455226659969381
Internal Dimensions,0.10881406013403491,0.024568754148509304
fuel_pyrolysis_T_K,0.10612398183872518,0.05244165331878159
"Dimensions of sample (Wire is in diameter, Cylindrical is in length x radius x thickness, Rectangle is in length x width x height, Shperical)",0.09839668959996359,0.029974385267357198
fuel_cp_J_kgK,0.08206512258524956,0.028553367875933284
Pressure,0.06635029874139349,0.01078629946429843
core_cp_J_kgK,0.05735106585410392,0.014421823605806018
core_density_kg_m3,0.05719680969922898,0.014113829327096533
Ignition power (W),0.05266910200364485,0.013388980517333705
"Ignition method (Wire, open flame, or Radiative Heater",0.04739147834150792,0.0
Flow Velocity (Co flow is + and counter flow is -),0.018580494221532007,0.015096416258575657
gas_density_kg_m3,0.01646072510975305,0.01448534463323294
gas_cp_mass,-0.018960376523210698,0.10611284267802835
gas_alpha_m2_s,-0.06616325708476704,0.03071208406448892
Gravity (g/gearth),-0.11827792884071844,0.06671060855252253
gas_nu_m2_s,-0.13744114343967,0.025171484702982146
"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)",-0.16034939591198932,0.07185557450412497
gas_k,-0.8190852557555972,0.04188145101682577
