Model,Validation Strategy,mean,std,median,min,max
KNN,Group-Aware (RD),0.508,0.1066,0.4847,0.3274,0.6984
XGBoost,Group-Aware (RD),0.3516,0.2261,0.3622,-0.0968,0.6174
Decision Tree,Group-Aware (RD),0.1167,0.4264,0.1878,-0.6123,0.6053
MLP,Group-Aware (RD),-0.7613,3.2907,0.3107,-10.069,0.6387
KNN,Group-Aware (RD+BT),0.4941,0.1134,0.5048,0.2651,0.6744
XGBoost,Group-Aware (RD+BT),0.3378,0.2377,0.3523,-0.0534,0.6197
Decision Tree,Group-Aware (RD+BT),0.2068,0.5265,0.4021,-0.8978,0.7937
MLP,Group-Aware (RD+BT),-0.29,1.7756,0.3025,-5.2493,0.5801
MLP,Random Split (RD),0.7509,0.0571,0.7621,0.6682,0.8072
KNN,Random Split (RD),0.7352,0.0454,0.7439,0.6673,0.7855
XGBoost,Random Split (RD),0.6424,0.1166,0.6351,0.4405,0.8129
Decision Tree,Random Split (RD),0.6226,0.1107,0.6405,0.4277,0.7956
MLP,Random Split (RD+BT),0.7563,0.0619,0.773,0.6413,0.8317
KNN,Random Split (RD+BT),0.7383,0.0435,0.7518,0.6566,0.7857
XGBoost,Random Split (RD+BT),0.6511,0.1039,0.6342,0.4656,0.8122
Decision Tree,Random Split (RD+BT),0.6265,0.1203,0.6475,0.4404,0.7877
