method,seed,fold,n_test,n_test_papers,roc_auc,pr_auc,mcc,f1,balanced_accuracy,youden_j_balacc,thr_mcc,thr_f1,thr_balacc,thr_youden
XGBoost,0,0,1003,14,0.6802408306494255,0.8259067604019749,0.2624356421679382,0.8289550496205488,0.6441691102244869,0.6441691102244869,0.85710608959198,0.011226887814700603,0.85710608959198,0.85710608959198
XGBoost,0,1,815,21,0.7780201182303584,0.9027480361480517,0.3610064391340857,0.8557353976073188,0.6662495232646835,0.6662495232646835,0.8474034667015076,0.010673366487026215,0.8474034667015076,0.8474034667015076
XGBoost,0,2,837,18,0.6814598068713473,0.8535393816616721,0.17928718763665175,0.8662593346911066,0.6004867598178982,0.6004867598178982,0.8848851919174194,0.02241702750325203,0.8876884579658508,0.8876884579658508
XGBoost,0,3,858,15,0.5727593171398512,0.8175075141811834,0.06218993252168761,0.8703094140882159,0.5405438614005852,0.5405438614005852,0.9324936270713806,0.03232366219162941,0.9423601031303406,0.9423601031303406
XGBoost,0,4,853,18,0.6735980852628262,0.8599725314992575,0.20398770375899627,0.8597603946441156,0.5870897795651326,0.5870897795651326,0.5007848143577576,0.04607447236776352,0.9309324622154236,0.9309324622154236
XGBoost,1,0,840,17,0.5549295883567523,0.7947140237009573,0.0154948344677361,0.8631436314363143,0.5089590212742923,0.5089590212742923,0.9464322924613953,0.006254683248698711,0.9464322924613953,0.9464322924613953
XGBoost,1,1,840,21,0.6714167363212048,0.850731401777533,0.25135444021861747,0.8516746411483254,0.613809351214208,0.613809351214208,0.863903820514679,0.006724648177623749,0.863903820514679,0.863903820514679
XGBoost,1,2,979,13,0.7247227204321025,0.8866387679413903,0.3389575143911199,0.835909631391201,0.6794612117838663,0.6794612117838663,0.9347696900367737,0.003611820051446557,0.9347696900367737,0.9347696900367737
XGBoost,1,3,845,16,0.6512029100900818,0.8152297129379298,0.2850055563389966,0.8672922252010724,0.6375657658501553,0.6375657658501553,0.7896779179573059,0.02504345029592514,0.9487072229385376,0.9487072229385376
XGBoost,1,4,862,19,0.6313330686897201,0.8306096069493722,0.18241634295070677,0.8702185792349727,0.6065190543401553,0.6065190543401553,0.900719404220581,0.030795270577073097,0.900719404220581,0.900719404220581
XGBoost,2,0,843,14,0.6491728146657724,0.8200953849770509,0.17015561141945937,0.8553971486761711,0.5974178403755869,0.5974178403755869,0.973102331161499,0.010596757754683495,0.973102331161499,0.973102331161499
XGBoost,2,1,987,12,0.7931881495767706,0.9223143926568009,0.37301208451180207,0.8516579406631762,0.7442060430729669,0.7442060430729669,0.737537145614624,0.012692968361079693,0.9397650957107544,0.9397650957107544
XGBoost,2,2,860,15,0.6382257793616135,0.8574254455301914,0.1881808154663329,0.8601722995361166,0.6047364154842667,0.6047364154842667,0.9492627382278442,0.005118107423186302,0.9415509700775146,0.9415509700775146
XGBoost,2,3,808,21,0.6439919802541716,0.8528174545363892,0.17748373378981305,0.851457000710732,0.5986053310541493,0.5986053310541493,0.9142427444458008,0.030989592894911766,0.9142427444458008,0.9142427444458008
XGBoost,2,4,868,24,0.5519556146217383,0.7783577825159085,0.10691801951866671,0.8609805238415044,0.554352796593215,0.554352796593215,0.8569438457489014,0.04385378584265709,0.8569438457489014,0.8569438457489014
KNN,0,0,1003,14,0.5351800221121954,0.7854385922622169,0.18783745520711312,0.8095522388059702,0.5556338028169014,0.5556338028169014,0.9613102754803005,0.47264834780640536,0.9613102754803005,0.9613102754803005
KNN,0,1,815,21,0.5142782227307399,0.7460896911260742,0.01421282706916987,0.8545326774420239,0.5081442283244343,0.5081442283244343,0.9651552881661071,0.0,0.9651552881661071,0.9651552881661071
KNN,0,2,837,18,0.6288771443424017,0.825615389113987,0.128242616276724,0.8681318681318682,0.5734077913076354,0.5734077913076354,0.8700702386932211,0.48303452314526873,0.8700702386932211,0.8700702386932211
KNN,0,3,858,15,0.5912553660428362,0.7887614142866962,0.25878612582355365,0.8533333333333334,0.5756583241819424,0.5756583241819424,0.6006682979971268,0.5598658222128643,0.8394442799565838,0.8394442799565838
KNN,0,4,853,18,0.651014390540358,0.8670814244948284,0.22995941397829647,0.7057793345008757,0.6151693401959755,0.6151693401959755,0.8398608542411284,0.5718311909988206,0.8398608542411284,0.8398608542411284
KNN,1,0,840,17,0.53817540657794,0.7675616584866508,-0.014206777281854965,0.8637288135593221,0.49290856926324905,0.49290856926324905,0.8803337688720102,0.44033802907817726,0.8803337688720102,0.8803337688720102
KNN,1,1,840,21,0.4917930927354632,0.7425758524144785,-0.007156520377716253,0.8501026694045175,0.4973075130740952,0.4973075130740952,0.8394917874848471,0.2038741282889672,0.8394917874848471,0.8394917874848471
KNN,1,2,979,13,0.608100377265137,0.8164794730209113,0.002135311203235714,0.816747572815534,0.5065583317871647,0.5065583317871647,0.559478902730759,0.4809247331964892,0.6430319988501819,0.6430319988501819
KNN,1,3,845,16,0.6709365681544971,0.8420178318717554,0.2616343329418035,0.8661202185792349,0.6432251416795466,0.6432251416795466,0.747096638789728,0.4379417566605481,0.8396461160836562,0.8396461160836562
KNN,1,4,862,19,0.6181339684780052,0.8415335651787115,0.23900321145536338,0.7236514522821577,0.5939043754410727,0.5939043754410727,0.6445646605855494,0.5266855614529431,0.7704729987576505,0.7704729987576505
KNN,2,0,843,14,0.5818801699083389,0.8163249915179368,0.13961323816682375,0.8553971486761711,0.5718421640956852,0.5718421640956852,0.8814599181822312,0.07703012222782457,0.8814599181822312,0.8814599181822312
KNN,2,1,987,12,0.7357575270545378,0.8793809347027377,0.19325205648615945,0.8516355140186916,0.572653487624558,0.572653487624558,0.6364574499410334,0.3145740743842563,0.6364574499410334,0.6364574499410334
KNN,2,2,860,15,0.5337595571750926,0.7718040758639462,0.04332699602187034,0.8450511945392492,0.5250220901277212,0.5250220901277212,0.8745700460831357,0.48541904112504136,0.8745700460831357,0.8745700460831357
KNN,2,3,808,21,0.4149299869798947,0.6911196354953532,0.10045087822102512,0.851457000710732,0.5223059165594971,0.5223059165594971,0.6291318686423665,0.4951588595314518,0.6408933951499788,0.6408933951499788
KNN,2,4,868,24,0.6069514704621453,0.8159386095691546,0.08994510293964335,0.6949740034662045,0.5476364000114322,0.5476364000114322,0.8793491553673675,0.5917530513987164,0.8782429913351911,0.8782429913351911
Decision Tree,0,0,1003,14,0.5186703840792195,0.7374708041941569,-0.0001905539738291623,0.8289550496205488,0.4999230880161515,0.4999230880161515,0.30288012938810255,0.0,0.30288012938810255,0.30288012938810255
Decision Tree,0,1,815,21,0.603662121789982,0.7980552079725218,0.14631400979130066,0.8545326774420239,0.5352545766590389,0.5352545766590389,0.2589958158995816,0.0,0.30975520203956947,0.30975520203956947
Decision Tree,0,2,837,18,0.5476993116050471,0.7843394509484487,0.1215125737599626,0.8650847457627119,0.5115073801609931,0.5115073801609931,0.20465179386304974,0.0,0.6231339512250724,0.6231339512250724
Decision Tree,0,3,858,15,0.5848698710613821,0.8094174581478215,0.17600432419723847,0.8703094140882159,0.6032584071204221,0.6032584071204221,0.6054326030134208,0.0,0.6054326030134208,0.6054326030134208
Decision Tree,0,4,853,18,0.5689102804579764,0.7802847847656871,-0.04050943635878832,0.8626666666666667,0.5485399378760822,0.5485399378760822,1.0,0.0,0.9017849929946626,0.9017849929946626
Decision Tree,1,0,840,17,0.5230606831592053,0.7641379768813478,0.13392337834665083,0.8625592417061612,0.5631191468629893,0.5631191468629893,0.30670854042396534,0.0,0.30670854042396534,0.30670854042396534
Decision Tree,1,1,840,21,0.589543682641596,0.8024669533349531,-0.07071303177204812,0.8516746411483254,0.467690156889142,0.467690156889142,0.7936830237339402,0.0,0.7936830237339402,0.7936830237339402
Decision Tree,1,2,979,13,0.5376698208505988,0.7358591171206386,-0.06698474543442581,0.835909631391201,0.5396051085410354,0.5396051085410354,0.253124588127848,0.0,0.8536189314050343,0.8536189314050343
Decision Tree,1,3,845,16,0.6269066242018329,0.8234498768571006,0.09399715173107728,0.8621621621621621,0.5550247451329368,0.5550247451329368,0.39851750087455134,0.02555853836245858,0.538476563718195,0.538476563718195
Decision Tree,1,4,862,19,0.6037954304869442,0.8033187617086694,0.26631868667607334,0.862796833773087,0.5892804634203717,0.5892804634203717,0.22274709743590762,0.0,0.22274709743590762,0.22274709743590762
Decision Tree,2,0,843,14,0.5921193829644534,0.7837396349329209,0.19591101488560683,0.8553971486761711,0.5994299128101945,0.5994299128101945,0.4034364261168385,0.0,0.4034364261168385,0.4034364261168385
Decision Tree,2,1,987,12,0.6808234222650809,0.822509143677149,0.3600631377478488,0.8516579406631762,0.6987704918032787,0.6987704918032787,0.40760838439951763,0.0,0.40760838439951763,0.40760838439951763
Decision Tree,2,2,860,15,0.5111107865545973,0.7617239714721791,0.2469334239955151,0.8601722995361166,0.49365410876375615,0.49365410876375615,0.24648506151142358,0.0,0.7332733273327332,0.7332733273327332
Decision Tree,2,3,808,21,0.5652243372127389,0.7993278851467395,-0.2015434849218908,0.851457000710732,0.4193072984479715,0.4193072984479715,0.6412172697722396,0.0,0.6635160385542302,0.6635160385542302
Decision Tree,2,4,868,24,0.6569028837634685,0.8363794679240466,0.17683599221197488,0.859395532194481,0.6025036440024008,0.6025036440024008,0.5180451636058233,0.0,0.54733844204672,0.54733844204672
MLP,0,0,1003,14,0.5580805653030814,0.7278320013122432,0.015582525761654052,0.8279124778237729,0.5283733115416045,0.5283733115416045,0.9999873638153076,0.056308895349502563,0.9810237884521484,0.9810237884521484
MLP,0,1,815,21,0.5814581744215612,0.8168932494022646,0.09249225477312266,0.8545326774420239,0.5127963704551233,0.5127963704551233,0.722228467464447,0.0,0.722228467464447,0.722228467464447
MLP,0,2,837,18,0.6651478395110348,0.8458633173870116,0.2070362491171388,0.8327402135231317,0.60066791638443,0.60066791638443,0.7980278730392456,0.15969423949718475,0.8078223466873169,0.8078223466873169
MLP,0,3,858,15,0.6012118233410384,0.8265040448395158,0.09918832820050053,0.8695652173913043,0.5577343971985225,0.5577343971985225,0.9984532594680786,0.00014153101074043661,0.9984532594680786,0.9984532594680786
MLP,0,4,853,18,0.7185816539367657,0.8915543329519864,0.23746183530557807,0.8626666666666667,0.6587198571450008,0.6587198571450008,0.9999576807022095,1.556453872579057e-14,0.966926097869873,0.966926097869873
MLP,1,0,840,17,0.5610195575009087,0.7727901876184653,0.0688307652245555,0.848314606741573,0.5635792778649922,0.5635792778649922,0.17669366300106049,0.15634989738464355,0.7891127467155457,0.7891127467155457
MLP,1,1,840,21,0.6164870442559045,0.8307039924822156,0.07007177829597953,0.8516746411483254,0.5358825661471548,0.5358825661471548,0.9716936349868774,8.170012525644427e-32,0.9716936349868774,0.9716936349868774
MLP,1,2,979,13,0.624737151338982,0.8367415406894927,0.22855670408409698,0.835909631391201,0.6025934401220442,0.6025934401220442,0.9703757166862488,3.173977063397615e-07,0.9703757166862488,0.9703757166862488
MLP,1,3,845,16,0.6753196571589153,0.8595896900765714,0.12218181338846017,0.8462093862815885,0.5706914586358172,0.5706914586358172,0.9994600415229797,0.31844577193260193,0.9994600415229797,0.9994600415229797
MLP,1,4,862,19,0.7195696600799812,0.8869826450390558,0.19224533849457587,0.7689713322091062,0.6560294636556104,0.6560294636556104,0.9999405145645142,0.2986758351325989,0.8749737739562988,0.8749737739562988
MLP,2,0,843,14,0.6090356956554139,0.7733015894583564,-0.018161726499120324,0.8553971486761711,0.5016767270288397,0.5016767270288397,0.9999898672103882,0.0064179846085608006,0.9999597072601318,0.9999597072601318
MLP,2,1,987,12,0.623328511732562,0.8009981210375731,0.13172807653173707,0.8516579406631762,0.5909594985535198,0.5909594985535198,0.9998536109924316,6.983019238261494e-15,0.9978024363517761,0.9978024363517761
MLP,2,2,860,15,0.5772679806337129,0.8256633008806356,0.08265759616735671,0.8601722995361166,0.5461482850028114,0.5461482850028114,0.8330909013748169,0.028848320245742798,0.8330909013748169,0.8330909013748169
MLP,2,3,808,21,0.42613686287352925,0.743114640990495,-0.2333147344750678,0.7494181536074477,0.43604572213657533,0.43604572213657533,0.061017587780952454,0.02503807842731476,0.8328819274902344,0.8328819274902344
MLP,2,4,868,24,0.5975806682100089,0.8213407673590245,0.09067795674983269,0.8261818181818181,0.5508159707336592,0.5508159707336592,0.9498041868209839,0.5183497667312622,0.9498041868209839,0.9498041868209839
SVM (RBF),0,0,1003,14,0.5136783156275537,0.760021381001039,-0.028714588367082076,0.8289550496205488,0.5064750276402442,0.5064750276402442,0.5201051797491761,0.2952711290715721,0.5309489243494493,0.5309489243494493
SVM (RBF),0,1,815,21,0.7627129417747267,0.8929060567844131,0.29357744288496074,0.8628571428571429,0.6673102593440122,0.6673102593440122,0.5767433029446712,0.4670084421205125,0.5767433029446712,0.5767433029446712
SVM (RBF),0,2,837,18,0.5843913927001779,0.8379488989994972,0.07405892886135161,0.8650847457627119,0.5434618232226966,0.5434618232226966,0.5945455407904287,0.3670317989032081,0.5945455407904287,0.5945455407904287
SVM (RBF),0,3,858,15,0.6045715997143231,0.8193198295516207,0.06183029411388217,0.8703094140882159,0.5363547002311526,0.5363547002311526,0.6242259140116949,0.284485417799672,0.6242259140116949,0.6242259140116949
SVM (RBF),0,4,853,18,0.7788260980477484,0.9083115739754836,0.1283419437776593,0.8627177700348432,0.6165948890322774,0.6165948890322774,0.5948925137499055,0.43994292141550506,0.5715075811479163,0.5715075811479163
SVM (RBF),1,0,840,17,0.5712739055455451,0.7950453320167935,0.0,0.8625592417061612,0.5,0.5,0.7769303921716361,0.3563461584650076,0.7208433023512995,0.7208433023512995
SVM (RBF),1,1,840,21,0.5499330576739576,0.7822242753611488,0.17382919678981912,0.8516746411483254,0.5556102107388805,0.5556102107388805,0.5120603612862439,0.3635350766025683,0.5423827548944992,0.5423827548944992
SVM (RBF),1,2,979,13,0.512487888346012,0.7671851778755958,0.12582181107504792,0.835909631391201,0.5266636774073845,0.5266636774073845,0.5334616686811592,0.4419231694020766,0.5334616686811592,0.5334616686811592
SVM (RBF),1,3,845,16,0.6829617660375003,0.8706844583263851,0.17698366854361383,0.8469387755102041,0.5925912915866548,0.5925912915866548,0.6441670534716776,0.510632036654624,0.6340408445154456,0.6340408445154456
SVM (RBF),1,4,862,19,0.7232158609738885,0.8792422652188833,0.19995190891661238,0.862796833773087,0.5955510468125147,0.5955510468125147,0.551789657313483,0.40066219719717844,0.551789657313483,0.551789657313483
SVM (RBF),2,0,843,14,0.45843207392503166,0.7064384865578747,-0.0755429212423908,0.8553971486761711,0.46599597585513075,0.46599597585513075,0.5928505613093983,0.3870124183486774,0.5928505613093983,0.5928505613093983
SVM (RBF),2,1,987,12,0.3864486231651131,0.7099740474228395,0.0391459971226024,0.8516579406631762,0.4945274831243973,0.4945274831243973,0.5250974194032775,0.3921193968498186,0.5499200474870384,0.5499200474870384
SVM (RBF),2,2,860,15,0.5740621736685677,0.8279946651173092,0.2097802426267987,0.8601722995361166,0.585340918219061,0.585340918219061,0.6287957041399114,0.2567523178752732,0.6287957041399114,0.6287957041399114
SVM (RBF),2,3,808,21,0.5640661069885216,0.8023607151913856,0.05479114617956378,0.8427128427128427,0.5299262726553826,0.5299262726553826,0.5997930586806713,0.42782406743628004,0.5962848220386433,0.5962848220386433
SVM (RBF),2,4,868,24,0.608755608905656,0.8050280828828111,-0.01613153329257784,0.859395532194481,0.5819471834004972,0.5819471834004972,0.642836865123258,0.2813512897782799,0.5440529166978431,0.5440529166978431
