strategy,method,metric,mean,ci_low,ci_high,n,bootstrap_iterations
interpolation_random_80_20,XGBoost,roc_auc,0.8960370860560032,0.8888721043842203,0.9039629139439966,5,1000
interpolation_random_80_20,XGBoost,pr_auc,0.9654520829356972,0.9630081365943317,0.9679415986552433,5,1000
interpolation_random_80_20,XGBoost,mcc,0.4888500922889037,0.4676174826227251,0.5110233732383817,5,1000
interpolation_random_80_20,XGBoost,balanced_accuracy,0.7763673404336408,0.7638168425574966,0.7898436038333345,5,1000
interpolation_random_80_20,KNN,roc_auc,0.7727245639685959,0.75902309563241,0.7852029962650626,5,1000
interpolation_random_80_20,KNN,pr_auc,0.8996113245008541,0.8893906837376283,0.9086944840150061,5,1000
interpolation_random_80_20,KNN,mcc,0.37540987977421836,0.35833407825338914,0.3970760110194835,5,1000
interpolation_random_80_20,KNN,balanced_accuracy,0.7180212454872396,0.7054277854385953,0.7306304698814382,5,1000
interpolation_random_80_20,Decision Tree,roc_auc,0.8075689646809365,0.7964604713366086,0.8181234538814937,5,1000
interpolation_random_80_20,Decision Tree,pr_auc,0.9102153006295,0.90227078687,0.9172333211394994,5,1000
interpolation_random_80_20,Decision Tree,mcc,0.3254799255344739,0.2568668435224417,0.39495682859934067,5,1000
interpolation_random_80_20,Decision Tree,balanced_accuracy,0.6794024100392896,0.6060590521990395,0.7460464407225961,5,1000
interpolation_random_80_20,MLP,roc_auc,0.8494744063251405,0.8164309521664717,0.8717652602329657,5,1000
interpolation_random_80_20,MLP,pr_auc,0.9477758933669508,0.9321327938079964,0.957760267994735,5,1000
interpolation_random_80_20,MLP,mcc,0.3849650510104804,0.2149227839438003,0.4940964675630456,5,1000
interpolation_random_80_20,MLP,balanced_accuracy,0.7202344903092583,0.6130653510078787,0.7857132240338708,5,1000
interpolation_random_80_20,SVM (RBF),roc_auc,0.8336982808201618,0.82823584846826,0.8397585629846237,5,1000
interpolation_random_80_20,SVM (RBF),pr_auc,0.9420796757119394,0.939619956660762,0.9443630332875017,5,1000
interpolation_random_80_20,SVM (RBF),mcc,0.4386847430235926,0.42724281213241583,0.45104333952706793,5,1000
interpolation_random_80_20,SVM (RBF),balanced_accuracy,0.7500952790115929,0.7435518629645286,0.7577238363834167,5,1000
