feature,cluster
ignition_time_s,1
ignition_energy_j,2
ignition_power_w,3
gravity_g,4
log10_gravity_g,4
gravity_regime,5
flow_velocity_mm_s,6
flow_speed_abs_mm_s,7
ig_method_cat,8
internal_dim_1_mm,9
internal_dim_mean_mm,10
internal_dim_2_mm,11
internal_geom_cat,12
internal_dim_3_mm,13
outer_diameter_mm,14
insulation_thickness_mm,15
core_diameter_mm,16
sample_dim_1_mm,17
sample_dim_max_mm,17
sample_dim_mean_mm,17
sample_dim_2_mm,17
geometry_cat,18
core_material,18
sample_dim_count,19
facility_cat,20
pressure_kpa,21
oxygen_fraction,22
sample_dim_3_mm,23
sample_dim_min_mm,24
material_family,25
material_grouped,26
flow_direction,27
