feature,type,mi_target,mi_paper,paper_identifiability_frac,ratio_paper_to_target
sample_dim_mean_mm,numeric,0.10400208073149897,3.326800648471356,0.8508848003659145,31.987827792216205
internal_dim_mean_mm,numeric,0.07947812921370412,2.987493023756473,0.7641012112588192,37.58886945770423
sample_dim_max_mm,numeric,0.06067465996986199,2.9719872210124025,0.7601353433675574,48.98234654283408
sample_dim_1_mm,numeric,0.055854139498049626,2.7466923737195623,0.7025124253095361,49.17616488954188
internal_dim_1_mm,numeric,0.06224959848098832,2.712699160361481,0.6938180935420832,43.57777763321587
sample_dim_2_mm,numeric,0.07559906013353546,2.695054596529409,0.6893052018000743,35.64931352015437
sample_dim_min_mm,numeric,0.06277187388888228,2.5713109863781813,0.6576557078430302,40.96278838082599
material_grouped,categorical,0.07492893744958172,2.474319095007723,0.6328484125325082,33.02220983278518
internal_dim_2_mm,numeric,0.055366422429387274,2.157065141716122,0.55170541803542,38.95980717315049
flow_velocity_mm_s,numeric,0.036628561976729035,1.9770110166946862,0.5056535699048982,53.97457366605674
flow_speed_abs_mm_s,numeric,0.03281064733857564,1.7636289786805244,0.4510775516812697,53.7517276169988
pressure_kpa,numeric,0.039975172599584496,1.6936088577688908,0.4331687369072709,42.366517706705146
sample_dim_3_mm,numeric,0.047301125203607075,1.6513909478922915,0.4223708017097644,34.912297345653
material_family,categorical,0.04114177086540484,1.6252178074811212,0.4156765841395169,39.50286468703585
oxygen_fraction,numeric,0.0508033919595583,1.5294402266081928,0.3911798690093095,30.10508093289703
ignition_time_s,numeric,0.0316547640456899,1.4313526507850596,0.3660923341096776,45.21760606773349
internal_dim_3_mm,numeric,0.02441541708393835,1.1690434046507328,0.2990023656639588,47.88136121663006
facility_cat,categorical,0.011882434537243173,1.1037833199799512,0.2823110096181808,92.89201775278944
log10_gravity_g,numeric,0.016404798964303247,1.076091423045309,0.2752283447143449,65.59613594697979
geometry_cat,categorical,0.008051312962127244,1.0293106135504178,0.263263371770653,127.8438210503325
gravity_g,numeric,0.01627929040673992,1.0142705102636151,0.2594166142895415,62.30434404215117
sample_dim_count,numeric,0.0,1.0104098838186255,0.25842919463052416,1010409.8838186256
outer_diameter_mm,numeric,0.012934107863743716,0.9450317991937505,0.24170765812670508,73.06509340646673
internal_geom_cat,categorical,0.0016279618272660584,0.8626552723512529,0.2206384862695266,529.8989558004353
flow_direction,categorical,0.014437475388207131,0.8505279565151053,0.21753672280228775,58.911127717650444
core_material,categorical,0.0025548661844749243,0.7759824199114961,0.19847045742198086,303.7272263521605
gravity_regime,categorical,0.012847053566530174,0.7476266254654302,0.1912179896471101,58.1944040003995
core_diameter_mm,numeric,0.013497365175008547,0.6184082442046881,0.15816823158806484,45.81696028716186
insulation_thickness_mm,numeric,0.007876467987163238,0.6009635502904533,0.15370645991398554,76.29860887772037
ignition_energy_j,numeric,0.005914563474117784,0.5885747828682337,0.15053782583917893,99.51280182279648
ignition_power_w,numeric,0.008218906669605897,0.5765003892521854,0.14744959811316488,70.14319695150269
ig_method_cat,categorical,0.005822869946830695,0.3388065278414355,0.08665542521686527,58.185487729438826
