model_id,model_family,feature_set,extrapolation_grouped,interpolation_stratified,roc_auc_drop
xgb_physics_focal_class_paper_weighted,xgboost,physics,0.4910776684932385,0.4891890939809496,-0.0018885745122888542
xgb_all_focal_class_paper_weighted,xgboost,all,0.4923010188813154,0.4914685228726455,-0.000832496008669914
knn_physics,knn,physics,0.7039840834279606,0.8259983138195732,0.12201423039161263
svm_physics,svm,physics,0.6995370503918884,0.8444945699267172,0.14495751953482883
mlp_physics,mlp,physics,0.6958038692700981,0.8420775320999111,0.14627366282981302
xgb_physics_paper_bagging,xgboost,physics,0.7133343630417659,0.8746992695491922,0.1613649065074263
xgb_physics_unweighted,xgboost,physics,0.7210058906693564,0.8977596910865666,0.17675380041721023
xgb_physics_class_paper_weighted_monotone_o2,xgboost,physics,0.7150644327625497,0.894869145635231,0.1798047128726813
decision_tree_physics,decision_tree,physics,0.6560204580144414,0.8375166305448538,0.1814961725304124
knn_all,knn,all,0.6284431911795577,0.8229442971048236,0.19450110592526593
mlp_all,mlp,all,0.657936349223989,0.8651003371646616,0.2071639879406726
xgb_all_unweighted,xgboost,all,0.7017958173206864,0.9140800328141008,0.21228421549341436
xgb_all_class_paper_weighted,xgboost,all,0.6982712665142042,0.9133801819006584,0.21510891538645416
svm_all,svm,all,0.6429435556040974,0.8645304803512783,0.2215869247471809
decision_tree_all,decision_tree,all,0.5956135626277627,0.8538713124198026,0.25825774979203997
